# [ 227 674 473 270 1447 1261 149 113 457 332 ]
>> Objective values: [ 835440.0 364.0 ] | Rank: 1 | Crowding Distance: 1.7976931348623157E308

# [ 234 666 473 270 1447 1261 149 113 457 332 ]
>> Objective values: [ 835920.0 363.0 ] | Rank: 1 | Crowding Distance: 1.7976931348623157E308

# [ 227 674 473 270 1297 1261 301 113 457 332 ]
>> Objective values: [ 837656.0 362.0 ] | Rank: 1 | Crowding Distance: 0.0062

# [ 227 674 473 490 1079 1261 301 113 457 332 ]
>> Objective values: [ 838624.0 361.0 ] | Rank: 1 | Crowding Distance: 0.047

# [ 227 674 473 597 957 1261 324 113 457 332 ]
>> Objective values: [ 839726.0 360.0 ] | Rank: 1 | Crowding Distance: 0.0208

# [ 227 674 473 427 1297 1123 301 113 457 332 ]
>> Objective values: [ 840500.0 359.0 ] | Rank: 1 | Crowding Distance: 0.0409

# [ 227 674 473 753 960 1123 301 113 457 332 ]
>> Objective values: [ 841320.0 357.0 ] | Rank: 1 | Crowding Distance: 0.0584

# [ 227 674 473 715 1447 826 149 113 457 332 ]
>> Objective values: [ 842010.0 353.0 ] | Rank: 1 | Crowding Distance: 0.0345

# [ 227 674 873 274 1297 916 247 113 457 332 ]
>> Objective values: [ 844186.0 352.0 ] | Rank: 1 | Crowding Distance: 0.0237

# [ 234 666 873 274 1297 916 247 113 457 332 ]
>> Objective values: [ 844666.0 351.0 ] | Rank: 1 | Crowding Distance: 0.0266

# [ 227 674 857 373 1297 826 247 113 457 332 ]
>> Objective values: [ 845030.0 350.0 ] | Rank: 1 | Crowding Distance: 0.064

# [ 234 666 857 373 1297 826 247 113 457 332 ]
>> Objective values: [ 845510.0 349.0 ] | Rank: 1 | Crowding Distance: 0.0509

# [ 227 674 857 715 960 826 247 113 457 332 ]
>> Objective values: [ 846618.0 348.0 ] | Rank: 1 | Crowding Distance: 0.0493

# [ 227 674 473 1079 1079 686 301 113 457 332 ]
>> Objective values: [ 847346.0 347.0 ] | Rank: 1 | Crowding Distance: 0.0601

# [ 227 674 551 1091 1297 415 247 113 457 332 ]
>> Objective values: [ 849302.0 340.0 ] | Rank: 1 | Crowding Distance: 0.1701

# [ 227 674 857 735 1297 415 301 113 457 332 ]
>> Objective values: [ 851564.0 339.0 ] | Rank: 1 | Crowding Distance: 0.0423

# [ 234 666 857 735 1297 415 296 113 457 332 ]
>> Objective values: [ 851754.0 338.0 ] | Rank: 1 | Crowding Distance: 0.0304

# [ 227 674 857 1079 960 415 301 113 457 332 ]
>> Objective values: [ 853248.0 337.0 ] | Rank: 1 | Crowding Distance: 0.0504

# [ 227 674 551 553 1297 415 785 113 457 332 ]
>> Objective values: [ 854682.0 335.0 ] | Rank: 1 | Crowding Distance: 0.0764

# [ 227 674 873 1091 1297 93 247 113 457 332 ]
>> Objective values: [ 855420.0 331.0 ] | Rank: 1 | Crowding Distance: 0.0396

# [ 234 666 857 1142 1266 68 271 113 457 332 ]
>> Objective values: [ 856678.0 330.0 ] | Rank: 1 | Crowding Distance: 0.0715

# [ 234 666 551 792 1297 186 784 113 457 332 ]
>> Objective values: [ 858790.0 329.0 ] | Rank: 1 | Crowding Distance: 0.0588

# [ 227 674 873 274 1447 186 821 113 457 332 ]
>> Objective values: [ 859258.0 328.0 ] | Rank: 1 | Crowding Distance: 0.0504

# [ 227 674 551 715 1447 68 821 113 457 332 ]
>> Objective values: [ 859348.0 327.0 ] | Rank: 1 | Crowding Distance: 0.0637

# [ 227 674 738 792 1199 93 784 113 457 332 ]
>> Objective values: [ 860747.0 326.0 ] | Rank: 1 | Crowding Distance: 0.0547

# [ 234 666 738 792 1199 93 784 113 457 332 ]
>> Objective values: [ 861227.0 325.0 ] | Rank: 1 | Crowding Distance: 0.003

# [ 234 666 551 715 1297 68 973 113 457 332 ]
>> Objective values: [ 862044.0 324.0 ] | Rank: 1 | Crowding Distance: 0.0468

# [ 227 674 873 859 957 93 821 113 457 332 ]
>> Objective values: [ 862616.0 323.0 ] | Rank: 1 | Crowding Distance: 0.0506

# [ 227 674 857 722 957 93 973 113 457 332 ]
>> Objective values: [ 864008.0 322.0 ] | Rank: 1 | Crowding Distance: 0.0276

# [ 234 666 886 715 960 68 973 113 457 332 ]
>> Objective values: [ 864971.0 321.0 ] | Rank: 1 | Crowding Distance: 0.1437

# [ 227 674 857 722 957 93 973 404 457 42 ]
>> Objective values: [ 880073.0 319.0 ] | Rank: 1 | Crowding Distance: 0.2044

# [ 227 674 886 715 960 68 973 404 457 42 ]
>> Objective values: [ 880556.0 318.0 ] | Rank: 1 | Crowding Distance: 0.0221

# [ 227 674 886 715 960 68 973 404 166 332 ]
>> Objective values: [ 893000.0 315.0 ] | Rank: 1 | Crowding Distance: 0.0707

# [ 540 370 886 715 960 68 973 113 457 332 ]
>> Objective values: [ 905291.0 313.0 ] | Rank: 1 | Crowding Distance: 0.3967

# [ 540 370 886 715 960 68 973 404 166 332 ]
>> Objective values: [ 932600.0 306.0 ] | Rank: 1 | Crowding Distance: 1.7976931348623157E308

